学籍番号,姓,名,姓（カタカナ）,名（カタカナ）,生年月日,血液型,性別,電話番号,郵便番号,住所,Column1,町域番地,_3,住所（カタカナ）,_4,チョウイキ,_7
N00001,関口,朱里,セキグチ,アカリ,2002/6/26,A,女,932534679,830-0059,福岡県,久留米市,江戸屋敷2-8-2,タウン江戸屋敷212,フクオカケン,クルメシ,エドヤシキ2-8-2,タウンエドヤシキ212
N00002,野原,羽海,ノハラ,ウミ,2009/6/23,A,女,930265266,838-1317,福岡県,朝倉市,石成3-18,,フクオカケン,アサクラシ,イシナリ3-18,
N00003,鈴木,茜,スズキ,アカネ,2001/4/30,A,女,924947851,832-0013,福岡県,柳川市,上町2-9-10,上町アパート405,フクオカケン,ヤナガワシ,カミマチ2-9-10,カミマチアパート405
N00004,増田,一郎,マスダ,イチロウ,2004/1/21,O,男,927076168,803-0861,福岡県,北九州市小倉北区,篠崎4-1-17,篠崎ガーデン300,フクオカケン,キタキュウシュウシコクラキタク,シノザキ4-1-17,シノザキガーデン300
N00005,塩見,小夏,シオミ,コナツ,2006/2/26,O,女,924851817,836-0801,福岡県,大牟田市,柿園町4-10,ガーデン柿園町106,フクオカケン,オオムタシ,カキゾノマチ4-10,ガーデンカキゾノマチ106
N00006,小谷,里紗,コタニ,リサ,2002/4/21,A,女,935745634,820-0004,福岡県,飯塚市,新立岩3-9-12,ガーデン新立岩407,フクオカケン,イイヅカシ,シンタテイワ3-9-12,ガーデンシンタテイワ407
N00007,唐沢,愛生,カラサワ,アキ,2006/4/8,O,女,937962442,807-0856,福岡県,北九州市八幡西区,八枝4-7-6,リバーサイド八枝217,フクオカケン,キタキュウシュウシヤハタニシク,ヤツエ4-7-6,リバーサイドヤツエ217
N00008,石村,理仁,イシムラ,リヒト,2005/2/27,AB,男,935276962,811-3435,福岡県,宗像市,用山3-18-5,用山パーク418,フクオカケン,ムナカタシ,モチヤマ3-18-5,モチヤマパーク418
N00009,下川,敏伸,シモカワ,トシノブ,2003/9/15,B,男,92034344,824-0251,福岡県,京都郡みやこ町,犀川下伊良原1-17,犀川下伊良原ゴールデン405,フクオカケン,ミヤコグンミヤコマチ,サイガワシモイラハラ1-17,サイガワシモイラハラゴールデン405
N00010,栗林,花満,クリバヤシ,ハナミチ,2009/9/27,A,男,939528807,820-0335,福岡県,嘉麻市,東畑4-17-7,東畑ドリーム216,フクオカケン,カマシ,ヒガシハタ4-17-7,ヒガシハタドリーム216
N00011,中谷,一子,ナカタニ,イチコ,2002/7/10,B,女,933090152,839-0836,福岡県,久留米市,草野町吉木1-10-15,,フクオカケン,クルメシ,クサノマチヨシキ1-10-15,
N00012,中,七緒,ナカ,ナナオ,2009/2/19,O,女,923882249,811-4211,福岡県,遠賀郡岡垣町,吉木4-7-5,,フクオカケン,オンガグンオカガキマチ,ヨシキ4-7-5,
N00013,土居,公健,ドイ,コウケン,2003/1/21,A,男,92128458,824-0816,福岡県,京都郡みやこ町,勝山矢山2-18-13,,フクオカケン,ミヤコグンミヤコマチ,カツヤマヤヤマ2-18-13,
N00014,樋口,月稀乃,ヒグチ,ツキノ,2008/12/28,O,女,924360148,816-0806,福岡県,春日市,光町1-1-7,,フクオカケン,カスガシ,ヒカリマチ1-1-7,
N00015,田沢,和秀,タザワ,カズヒデ,2005/5/22,O,男,930301853,810-0005,福岡県,福岡市中央区,清川2-1-10,,フクオカケン,フクオカシチュウオウク,キヨカワ2-1-10,
N00016,梅田,茉柚,ウメダ,マユ,2003/11/1,A,女,939317254,824-0254,福岡県,京都郡みやこ町,犀川扇谷3-8-13,犀川扇谷ヒル414,フクオカケン,ミヤコグンミヤコマチ,サイガワオウギダニ3-8-13,サイガワオウギダニヒル414
N00017,会田,数子,アイダ,カズコ,2002/10/24,A,女,949253591,801-0873,福岡県,北九州市門司区,東門司2-5,,フクオカケン,キタキュウシュウシモジク,ヒガシモジ2-5,
N00018,都築,栄一郎,ツズキ,エイイチロウ,2004/1/30,O,男,935887880,802-0801,福岡県,北九州市小倉南区,富士見3-19-2,,フクオカケン,キタキュウシュウシコクラミナミク,フジミ3-19-2,
N00019,西村,有彩,ニシムラ,アリサ,2009/12/23,AB,女,93620017,818-0035,福岡県,筑紫野市,美しが丘北1-6,ハイツ美しが丘北312,フクオカケン,チクシノシ,ウツクシガオカキタ1-6,ハイツウツクシガオカキタ312
